1,ai를 활용한 도면 검도 시스템 개발
2,모델기반 전자편의제어기 실차평가 체크시트 고도화 AI 활용화 방안
3,차종 개발 프로세스에 업무 문서 컨퍼런스 연계하여 ai 화
4,AI를 활용한 특허 초안 작성 업무 효율화
5,경쟁차 구조 벤치마킹
6,Agentic Al 기반 문서 작업 자동화를 통한 보고서 작성 공수 절감 및 사내 데이터 표준화
7,생성형 AI 기반 후드 4절링크 힌지 자동 설계 방법론
8,컨플루언스 연계 AI 문서 자동화 툴 도입
9,AI 기반 MATLAB 모델 분석 및 Test 지원
10,협업 커뮤니케이션 효율화를 위한 AI 비즈니스 이메일 자동 생성 및 템플릿화
11,체결 하드웨어 추천/자동화 시스템
12,AI를 활용한 업무/시스템 매뉴얼 전산화
13,AI를 활용한 개인 맞춤형 업무 보조프로그램 제작을 통한 업무 효율성 증대
14,글로벌 법규 및 특허 레이더 –법규·특허 통합 실시간 자동 검증 시스템
15,R&D Al Agent 구축 : 공통 RAG Router·Agent Hub 기반 표준 워크플로우 구축 및 R&D 특화 LLM 고도화
16,음성 회의 실시간 자막/AI번역 및 AI 자동 회의록 생성 프로그램
17,AI를 활용한 Jira 제어기 품질문제 빅데이터 분석 시스템
18,AI를 활용한 로깅 데이터 분석 시스템
19,오토웨이 결재 문서 처리에 AI 비서 기능 도입
20,CCU2 AP 라우팅 설정파일 자동생성 및 Jira 연동 툴
21,"AI 팀장이 된 연구원, 함께 성장하다 -Multi-Agent 협업 체계로 일하는 방식 바꾸기"
22,[PPT_Ai_Trans] 이미 개발완료! PPT 양식 그대로 글씨만 외국어로 변환해주는 프로그램
23,"AI4PKM: 기억의 한계를 넘어, 흩어진 이메일을 연결된 지식으로"
24,글로벌 클레임 데이터 학습 기반 AI 정비지원 및 품질분석 체계 구축
25,차량 SW 검증 전주기 효율화를 위한 Al Assistant
26,AI 기반 업무 이메일 지식검색 시스템 (Outlook Al 비서)
27,클러스터 인폼 사양 관리 시스템 –Excel 반복 업무를 웹 워크플로우로 전환
28,회의 공지 및 자료 종합 후 사전배포 해주는 AI 에이전트
29,M365 Copilot Agent 기반 업무 Wiki 에이전트
30,「실차 CAN 데이터 자동 분석 툴(Vehicle CAN data analyzer)」 자체 개발 및 라이브러리 구축
31,AI 기반 실차 주행 데이터 분석으로 필드클레임 재현 모드를 하루 만에
32,GQMS 클레임 RO AI 분석을 통한 분석시간 단축 및 효율화
33,AI 기반 IT 프로젝트 설계 및 산출물 자동화 서비스
34,"파일 탐색 5분 → 5초, HCloud 파일 검색 도구"
35,개발표준 Q-Checker
36,LLM Wiki 기반 자율 진화형 자동차 기술 지식베이스 & 요구사항 자동 생성 플랫폼
37,AI를 활용한 앱 내 고객 공지 문구 작성 효율화
38,AI 근태관리 집사
39,"일상 표현을 보고서에 바로 쓸 수 있도록 변환해줍니다. ""현대 말투"""
40,AI 활용 비개발자의 반복업무 자동화 프로그램
41,자율주행BOT: 자율주행센터 AI 기반 내부 지식관리 챗봇
42,Confluence 품질현안 지능형 검색 HTML
43,내가 꼭 확인해야 할 내용이 있는 메일의 자동 분류
44,AI 기반 개선안 사이드 이펙트 자동 검증 및 특허 연동 One-Stop 파이프라인
45,AI 기반 특허제안서 자동 생성 시스템
46,에이전틱 AI를 활용한 서버 운영 자동화 개선
47,[모에망싸]모든 사람은 AI의 망각과 싸우고 있다
48,생성형 AI 기반 자동 보고서 생성 시스템 - 다중 양식 대응 스마트 문서화
49,제원 설정을 위한 성능(랩타임) 예측 및 영향도 분석을 위한 Co-Pilot 활용
50,트랜스킹 (TransKing) – 영문 기술문서 원클릭 한글화 시스템
51,Teams Copilot과 사내 AI 연계를 통한 맞춤형 회의록 자동 생성
52,H-Chat 기반 R&D 통합 지식 라이브러리(RAG) 구축 및 검색 고도화
53,AI 기반 차량 개발 문서 검토 및 소통 자동화 협업 플랫폼
54,설계 반복업무 30분을 3초만에! - 출도도면 파일명 자동변환 AI (첨부파일 다운 ☆★즉시 사용 가능★☆)
55,클로드코드 활용 TRIZ TOOL(HTML BASE) 및 LLM 활용을 통한 문제해결 및 특허제안 아이디어 제시
56,그래프킹 (GraphKing) –AI 코딩 어시스턴트로 개발한 엔진 시험 데이터 전용 시각화 도구
57,생성형 AI 기반 글로벌 기술 트렌드 분석 및 경쟁사 벤치마킹 자동화
58,도큐킹 (Docuking) – ECU 기술문서 AI 전문가 어시스턴트
59,충돌시험 이미지 검토 업무에 생성형 AI를 활용하는 방안
60,CAE 해석 전 과정을 스스로 수행하는 AI 해석 파트너
61,차종별 [품질/사이버보안/SW업데이트 등]점검결과 협조전의 담당자/이슈 할당 자동화
62,진화하는 현대차만의 자동 해석 Agentic Al (자연어 기반 해석 둘 통합 및 자동화)
63,"팀 히스토리, AI한테 매번 알려줘야 하나요? -Team Context WIKI"
64,[활용사례] AI활용 대시보드-컨플루언스-엠채널 연동 통한 파워트레인 데이터 관리 프로세스 체계화
65,해외출장 준비 Non-stop 도우미
66,AI로 보고서 PPT (잘) 작성하기
67,회의 딸-깍 회의 일정 조율부터 회의록 배포까지 AI One Stop 자동화 솔루션
68,AI 기반 보안형 협업 파트너 탐색 및 일정조율 자동화
69,LLM 기반 CCS 검증 Al Agent (DLT·Jira·TC 자연어 자동화)
70,AI 기반 ALUFIX BUCK 자재 자동 산출 및 구조 계산 자동화
71,AI 기반 글로벌 법규 요구사항 자동 추출 및 제어기 협업(R&R) 관리 시스템
72,최신 ES 기반 사양 준수 점검 Al Assistant
73,Al agent 기반 차종 관리 플랫폼
74,AI 기반 연구소 시험차 통합 관리 플랫폼
75,웹캠 기반 시험실 모니터링 알람 모바일 전송 시스템
76,AI 기반 Jira 정합성 검증 및 데이터 클렌징 솔루션
77,총 음성 기반 회의록 자동 생성 & 인사이트 도출 시스템
78,교 근태 데이터 AI 요약 & 팀별 자동 알림
79,ECU 고장진단 정보 검색 챗봇 (TroubleScan)
80,선임도 모르면 AI한테 물어봐 AI 기반 PPT 1만 장 검색 및 챗봇 시스템
81,사내 웹 기반 업무시스템 자동화 툴
82,AI 기반 PPT 자동 생성 시스템 구축
83,오너스 매뉴얼 자동 수정을 위한 오너스 매뉴얼 AI 자동 패치봇 '오너비'
84,© H-WAY 기반 채용 면접 도우미 AI
85,모 BOM 점검 Bot
86,P AI 면담 연습장
87,"윈드노이즈 해석자를 위한 GUI, Autogen LE"
88,8 커뮤니티 기반 차종·이슈 평판 분석 AI 리포트
89,차량 개발을 총괄하는 Project Manager Agent 개발
90,DPA 입력 점검 에이전트
91,"사내 메일, 메신저, 결재 문서를 자동 모니터링해 일정 관리를 돕는 Ai 업무 스케줄러 'Orbit'"
92,[ 챗봇 기반 통합 업무지원 시스템
93,BOM 기반 시작차 UPG VC 자동 선정
94,통 AI 개인화 뉴스레터 큐레이터
95,3 AI 기반 CCW 원가절감안 통합 조회 시스템
96,"시험 장비 점검 결과 자동 검증, 승인 자동화 및 AI기반 지능형 트러블슈팅 시스템 (Smart-Check AI)"
97,회의 영상 AI 자동 분석·보고서 생성 파이프라인
98,신뢰 DB 매칭 기반 오픈소스 컴플라이언스 검증 Agent
99,CAN 데이터를 AI가 읽고 교차검증하여 원인 분석 및 개선제안 (Gemini / GPT 교차검증)
100,[AI활용 프로젝트] 폐쇄공포증이 싫어요_비행기 통로좌석 예약 자동알림
101,RAG 기반 차량 패키지 제원 YouTube VOC 상관관계 분석을 통한 예상 리뷰 생성 모델 개발
102,AI기반 차량 개발 일정/법규 리스크 관리 Assist 환경 구축 제안
103,[PromptBridge] 실시간 양방향 대화 기반 지능형 Prompt 생성기
104,연구소 핵심 이슈 (Top 10) 자동 선정 AI 에이전트
105,AI를 활용한 자동차 개발 동향 정보 공유 및 허브 구성
106,AI RAG 구조 사용한 자연어 기반 담당자 검색 서비스
107,LLM기반 전장품 클레임 데이터 품질 분석 및 분류 자동화
108,아웃룩 메일 기반 AI 지식 관리 시스템(신성한 칼라) 도입 제안
109,도면 기하공차 정합성 자동화 검증
110,PPT 슬라이드 캡쳐 아웃룩 자동 삽입 프로그램 (프로그램화 완료) - 오토웨이에도 확장 필요
111,Claude Al 기반 에너지 동향 및 법규 모니터링 자동화 시스템
112,특허제안 단계 자가 검진 Tool로 AI 활용
113,Claude Code로 구현한 알루미늄 압출재 충돌성능 자동 정량화 분석 솔루션(프로그램 개발 완료)
114,사내 생성형 AI 기반 자동차 개발 동시협업 체계 구축
115,Claude Code로 만든 볼트 체결 토크 자동 계산기(프로그램 구현 완료)
116,"LLM을 활용한 로직 자동 분석 툴 (POC 개발 완료, 정식 서비스 Gate 진행 중)"
117,Outlook Al 메일 분석 Add-in (구현 완료)
118,구글캘린더를 통한 팀 근태관리 (프로그램화 완료) - MY HR 연동필요
119,AI 기반 ICCU 단품 성능 검증 자동화 시스템 개발
120,Claude code를 활용한 다음 주 주간업무 양식 자동생성 사례
121,비정형 문서 (PPTX/PDF) 자료 아카이브를 Agentic Al 데이터 소스로 만들기 (첨부. H-CHAT VISION API 활용 변환기)
122,Multi-Agen Al 기반 인증시험 운영 의사결정 플랫폼
123,60분 보고서를 5분으로 –AI 현장 안전점검 자동화 시스템
124,이 용어/약어 나만 몰랐던거야? Autopedia(통합용어사전) D/B 검색 툴
125,AI를 활용한 커넥티드 서비스 고객 관리 시스템
126,외부 계약 체결 과정에서 발생하는 사업협의사항 수정반영
127,사내 AI 도구를 활용한 시트 허리지지 성능 자동 분석 및 시각화 프로그램 개발
128,상온 및 고저온 BSR 보고서 자동 생성 시스템
129,Al 기반 이메일(텍스트/이미지) 일정 자동 추출 및 Teams 스마트 캘린더 연동 플러그인
130,Claude Code 기반 NVH 계측데이터 자동 분석·리포팅 툴(구현완료)
131,OTA 차량 예약 반영 자동화
132,Claude Code 기반 업무 파일 표준 분류 자동화 시스템
133,AI코딩 활용한 팀 예산관리 담당 프로그램
134,현대차 CCS 사업 특화 계약 검토 및 분석 플랫폼 구축
135,AI 기반 ES/MS Smart Assistant 구축-업무 효율화 증대
136,Claude Code 기반 Windows 기반 장비 유지보수 시험 자동화 플랫폼
137,AI 설계동료: 요구사항-사양-검증-이슈를 연결하는 R&D 문서 정합성 Agent
138,프로젝트 일정관리 시스템
139,Claude Code 기반 UX 기획 문서 자동 구조화 및 Confluence 일괄 등재 파이프라인
